_c0,event_name,event_id,event_type,trans_min,trans_max,presale_start,presale_end,pub_sale_start,pub_sale_end,event_date,event_promoter,event_attraction_ids,resaleStatus,status
188,Detroit Red Wings vs. Columbus Blue Jackets,vvG1OZ9uMP6PfR,Hockey,69.0,355.0,2022-07-07T14:00:00Z,2023-01-15T00:00:00Z,2022-08-05T14:00:00Z,2023-01-15T00:00:00Z,2023-01-14T00:00:00.000-05:00,NHL REGULAR SEASON,"K8vZ9171o20, K8vZ9171-C0",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
189,St. Louis Blues vs. Chicago Blackhawks,vvG1bZ92R_3_ZH,Hockey,0.0,0.0,2022-07-29T21:00:00Z,2022-12-30T02:00:00Z,2022-08-26T15:00:00Z,2022-12-30T02:00:00Z,2022-12-29T00:00:00.000-05:00,NHL REGULAR SEASON,"K8vZ9171o2V, K8vZ9171oz0",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
190,New Orleans Pelicans vs. Washington Wizards,Z7r9jZ1Ad4w1e,Basketball,0.0,0.0,NA,NA,1900-01-01T18:00:00Z,2023-01-29T01:00:00Z,2023-01-28T00:00:00.000-05:00,NA,"K8vZ9171oaV, K8vZ9171oVf",UNKNOWN,UNKNOWN
191,Pittsburgh Penguins vs. Carolina Hurricanes,G5vbZ9CkQTozu,Hockey,59.0,999.0,2022-08-02T14:00:00Z,2022-08-03T13:59:00Z,2022-08-03T14:00:00Z,2022-12-23T00:30:00Z,2022-12-22T00:00:00.000-05:00,NHL REGULAR SEASON,"K8vZ9171o8f, K8vZ9171o2f",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
192,Washington Wizards vs. Phoenix Suns,G5vfZ9odkodea,Basketball,34.0,888.0,2022-08-17T19:00:00Z,2022-08-29T02:00:00Z,NA,NA,2022-12-28T00:00:00.000-05:00,NBA REGULAR SEASON,"K8vZ9171oVf, K8vZ9171oZf",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
193,Brooklyn Nets vs. Washington Wizards,Z7r9jZ1Ad4s--,Basketball,0.0,0.0,NA,NA,1900-01-01T18:00:00Z,2023-02-04T23:00:00Z,2023-02-04T00:00:00.000-05:00,NA,"K8vZ9171o5f, K8vZ9171oVf",UNKNOWN,UNKNOWN
194,Detroit Red Wings vs. Philadelphia Flyers,vvG1OZ9uMPFAfS,Hockey,69.0,355.0,2022-07-07T14:00:00Z,2023-01-22T00:00:00Z,2022-08-05T14:00:00Z,2023-01-22T00:00:00Z,2023-01-21T00:00:00.000-05:00,NHL REGULAR SEASON,"K8vZ9171o20, K8vZ9171oy0",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
195,Boston Bruins vs. Philadelphia Flyers,vvG17Z9uDXP_5O,Hockey,150.0,1541.5,2022-07-07T14:00:00Z,2022-07-07T17:55:00Z,2022-07-07T18:00:00Z,2023-01-16T19:00:00Z,2023-01-16T00:00:00.000-05:00,NHL REGULAR SEASON,"K8vZ9171o27, K8vZ9171oy0",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
196,Vegas Golden Knights vs. Pittsburgh Penguins,Z7r9jZ1Adfs1_,Hockey,0.0,0.0,NA,NA,1900-01-01T06:00:00Z,2023-01-06T03:00:00Z,2023-01-05T00:00:00.000-05:00,NA,"K8vZ917pkPf, K8vZ9171o8f",UNKNOWN,UNKNOWN
197,Tampa Bay Lightning vs. Arizona Coyotes,vvG1VZ92wkMiQd,Hockey,48.25,995.25,2022-08-02T14:00:00Z,2022-08-05T12:00:00Z,2022-08-05T14:00:00Z,2022-12-31T23:00:00Z,2022-12-31T00:00:00.000-05:00,NHL REGULAR SEASON,"K8vZ9171oBV, K8vZ9171oo7",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
198,Portland Trail Blazers vs. Los Angeles Lakers,vvG1HZ92maWds-,Basketball,90.0,2500.0,2022-08-24T17:00:00Z,2022-08-25T06:59:00Z,2022-08-25T17:00:00Z,2023-01-23T03:00:00Z,2023-01-22T00:00:00.000-05:00,NBA REGULAR SEASON,"K8vZ9171oZV, K8vZ91718T0",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
199,Philadelphia Flyers vs. Arizona Coyotes,Z7r9jZ1AdfsPk,Hockey,0.0,0.0,NA,NA,1900-01-01T18:00:00Z,2023-01-06T00:00:00Z,2023-01-05T00:00:00.000-05:00,NA,"K8vZ9171oy0, K8vZ9171oo7",UNKNOWN,UNKNOWN
