_c0,event_name,event_id,event_type,trans_min,trans_max,presale_start,presale_end,pub_sale_start,pub_sale_end,event_date,event_promoter,event_attraction_ids,resaleStatus,status
69,Shania Twain: Queen Of Me Tour,vvG17Z94Eh3gx_,Country,61.0,251.0,2022-11-01T14:00:00Z,2022-11-04T02:00:00Z,2022-11-04T14:00:00Z,2023-07-10T00:30:00Z,2023-07-09,LIVE NATION MUSIC,"K8vZ91719n0, K8vZ917_bOf",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
70,Eagles,Z7r9jZ1Ad_6f9,Rock,0.0,0.0,NA,NA,2022-10-28T17:00:00Z,2023-03-04T04:00:00Z,2023-03-03,LIVE NATION MUSIC,K8vZ9171ob7,UNKNOWN,UNKNOWN
71,Imagine Dragons,vvG1jZ9pxhDoYZ,Rock,87.63,231.38,2022-11-15T16:00:00Z,2022-11-18T04:00:00Z,2022-11-18T16:00:00Z,2023-07-09T01:00:00Z,2023-07-08,SUMMERFEST PRODUCTIONS,"K8vZ917GSz7, K8vZ917CSq0",TICKETS_NOT_AVAILABLE,FEW_TICKETS_LEFT
72,P!NK: Summer Carnival 2023,vvG1YZ9ASfN7Jv,Rock,44.95,374.95,2022-11-16T16:00:00Z,2022-11-21T05:00:00Z,2022-11-21T16:00:00Z,2023-09-30T01:30:00Z,2023-09-29,LIVE NATION MUSIC,"K8vZ9171Jo7, K8vZ9175z3V, K8vZ917ufxV, K8vZ9178Lb7",TICKETS_AVAILABLE,TICKETS_AVAILABLE
73,Shania Twain: Queen Of Me Tour,G5vYZ94OyJZn1,Country,46.0,226.0,2022-11-01T17:00:00Z,2022-11-04T05:00:00Z,2022-11-04T17:00:00Z,2023-05-27T04:30:00Z,2023-05-26,LIVE NATION MUSIC,"K8vZ91719n0, K8vZ917Kj1f",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
74,Shania Twain: Queen Of Me Tour,vvG1bZ94xRLe3g,Country,60.95,240.95,2022-11-03T15:00:00Z,2022-11-04T03:00:00Z,2022-11-04T15:00:00Z,2023-06-05T02:30:00Z,2023-06-04,LIVE NATION MUSIC,"K8vZ91719n0, K8vZ917_bOf",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
75,Shania Twain: Queen Of Me Tour,vvG1bZ94xOxoRJ,Country,46.0,921.95,2022-11-01T15:00:00Z,2022-11-04T03:00:00Z,2022-11-04T15:00:00Z,2023-05-18T02:30:00Z,2023-05-17,LIVE NATION MUSIC,"K8vZ91719n0, K8vZ917Kj1f",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
76,P!NK: Summer Carnival 2023,vvG1bZ9kQ-pEqi,Rock,39.95,369.95,2022-11-16T16:00:00Z,2022-11-21T05:00:00Z,2022-11-21T16:00:00Z,2023-08-22T01:30:00Z,2023-08-21,LIVE NATION MUSIC,"K8vZ9171Jo7, K8vZ9175z3V, K8vZ917ufxV, K8vZ9178Lb7",TICKETS_AVAILABLE,TICKETS_AVAILABLE
77,Brooklyn Nets vs. Washington Wizards,Z7r9jZ1Ad4s--,Basketball,0.0,0.0,NA,NA,1900-01-01T18:00:00Z,2023-02-04T23:00:00Z,2023-02-04,NA,"K8vZ9171o5f, K8vZ9171oVf",UNKNOWN,UNKNOWN
78,Shania Twain: Queen Of Me Tour,G5vzZ94xEY-lI,Country,55.95,225.95,2022-11-03T16:00:00Z,2022-11-04T04:00:00Z,2022-11-04T16:00:00Z,2023-05-25T03:30:00Z,2023-05-24,LIVE NATION MUSIC,"K8vZ91719n0, K8vZ917Kj1f",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
79,P!NK: Summer Carnival 2023,vvG1IZ9plrgAaz,Rock,50.95,364.95,2022-11-19T18:00:00Z,2022-11-21T07:00:00Z,2022-11-21T18:00:00Z,2023-10-04T03:00:00Z,2023-10-03,LIVE NATION MUSIC,"K8vZ9171Jo7, K8vZ9175z3V, K8vZ917ufxV, K8vZ9178Lb7",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
80,Shania Twain: Queen Of Me Tour,G5vfZ94NQ9eNM,Country,76.0,276.0,2022-11-01T14:00:00Z,2022-11-04T02:00:00Z,2022-11-04T14:00:00Z,2023-06-28T01:30:00Z,2023-06-27,LIVE NATION MUSIC,"K8vZ91719n0, K8vZ917_940",TICKETS_NOT_AVAILABLE,FEW_TICKETS_LEFT
81,Eagles,G5v0Z9fBwXKHA,Rock,124.0,444.0,2022-10-27T17:00:00Z,2022-10-28T05:00:00Z,2022-10-28T17:00:00Z,2023-03-02T05:00:00Z,2023-03-01,LIVE NATION MUSIC,K8vZ9171ob7,TICKETS_AVAILABLE,FEW_TICKETS_LEFT
82,Shania Twain: Queen Of Me Tour,vvG1HZ94xhtvGM,Country,61.5,236.5,2022-11-01T17:00:00Z,2022-11-04T05:00:00Z,2022-11-04T17:00:00Z,2023-04-30T03:30:00Z,2023-04-29,LIVE NATION MUSIC,"K8vZ91719n0, K8vZ9172-p0",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
83,Shania Twain: Queen Of Me Tour,G5v0Z94xfSsFi,Country,50.95,250.95,2022-11-01T17:00:00Z,2022-11-04T05:00:00Z,2022-11-04T17:00:00Z,2023-05-31T04:30:00Z,2023-05-30,LIVE NATION MUSIC,"K8vZ91719n0, K8vZ917Kj1f",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
84,Shania Twain: Queen Of Me Tour,G5dIZ94Jdxopv,Country,55.95,255.95,2022-11-03T15:00:00Z,2022-11-04T03:00:00Z,2022-11-04T15:00:00Z,2023-07-23T02:30:00Z,2023-07-22,LIVE NATION MUSIC,"K8vZ91719n0, K8vZ91730MV",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
85,P!NK: Summer Carnival 2023,G5dIZ9prByxD1,Rock,39.95,299.95,2022-11-19T16:00:00Z,2022-11-21T05:00:00Z,2022-11-21T16:00:00Z,2023-09-25T23:30:00Z,2023-09-25,LIVE NATION MUSIC,"K8vZ9171Jo7, K8vZ9175z3V, K8vZ917ufxV, K8vZ9178Lb7",TICKETS_AVAILABLE,TICKETS_AVAILABLE
86,Sacramento Kings vs. Los Angeles Lakers,G5vYZ98KiDt6j,Basketball,40.0,3500.0,2022-08-17T19:05:00Z,2022-08-18T18:59:00Z,2022-08-18T19:00:00Z,2023-01-08T04:00:00Z,2023-01-07,NBA REGULAR SEASON,"K8vZ9171o50, K8vZ91718T0",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
87,Eagles,vvG1HZ945oMe2u,Rock,125.0,445.0,2022-10-27T17:00:00Z,2023-02-20T05:00:00Z,2022-10-28T17:00:00Z,2023-02-20T05:00:00Z,2023-02-19,LIVE NATION MUSIC,K8vZ9171ob7,TICKETS_AVAILABLE,TICKETS_AVAILABLE
